"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-2.06028734921018,0.266,0.824,0,"Kcnq5"
0,-3.25787121491238,0.213,0.977,0,"Igfbp2"
0,-1.59644062771727,0.146,0.705,0,"Atp1b1"
0,-3.0701911606156,0.095,0.915,0,"Lrp2"
0,-1.54136614094326,0.843,0.979,0,"Cst3"
0,-2.35101120914319,0.168,0.826,0,"Myl9"
0,-2.06707395455027,0.018,0.741,0,"Sema3e"
0,-1.62795852561643,0.132,0.677,0,"Hspb1"
0,-1.38675252717038,0.979,0.995,0,"Cald1"
0,-1.81120588087049,0.603,0.949,0,"Ifitm3"
0,-1.07092852084343,0.89,0.975,0,"Calr"
0,-1.7160314093419,0.935,0.991,0,"Itgb1"
0,-2.49493022256794,0.047,0.828,0,"Cnn1"
0,-1.474600924879,0.298,0.792,0,"Aplp2"
0,-2.2013823085429,0.802,0.992,0,"Tagln"
0,-1.1344210645846,0.954,0.987,0,"Tpm1"
0,-1.57002566090096,0.002,0.647,0,"Zic1"
0,-1.53374848024083,0.287,0.756,0,"Col18a1"
0,-1.57736702694034,0.663,0.951,0,"Serpinf1"
0,-2.22967783050255,0.72,0.988,0,"Ckb"
0,-1.41404040925787,0.075,0.617,0,"Itga1"
0,-1.59509121879913,0.17,0.758,0,"Ezr"
0,-1.82553608119221,0.957,0.998,0,"Acta2"
0,-1.08129321793413,0.883,0.96,0,"Flna"
0,-2.19729159090542,0.112,0.815,0,"Bex1"
7.71926737175112e-307,-0.551763167137059,0.999,1,2.49216547096985e-302,"Actb"
1.14358401799518e-298,-1.21863577904179,0.029,0.559,3.69206100209743e-294,"Cotl1"
4.07148222060682e-293,-1.3435590434107,0.362,0.777,1.31447803492291e-288,"Plpp3"
9.43262292677291e-281,-1.02917705620182,0.811,0.945,3.04532231190863e-276,"Dstn"
2.14060771801688e-276,-1.1423861943703,0.775,0.938,6.91095201761751e-272,"Akap12"
2.35173991164514e-273,-1.14656418325225,0.002,0.499,7.59259230474634e-269,"Zic4"
8.42134477837318e-265,-1.25741430561082,0.001,0.484,2.71883116169778e-260,"Cdh4"
1.17986611108784e-240,-1.16569243039453,0.34,0.758,3.8091977396471e-236,"Tenm3"
1.61986970165453e-240,-1.08737264319114,0.001,0.451,5.22974933179165e-236,"Sdk1"
5.16758864888434e-238,-1.11349967544877,0.053,0.509,1.66835599529231e-233,"Gas6"
7.31740649321271e-233,-1.00612245488169,0.011,0.458,2.36242468633372e-228,"Zic3"
1.91244282878638e-230,-1.19944275157049,0.326,0.706,6.17432167273683e-226,"Lox"
1.76828219249047e-228,-0.956924521589435,0.879,0.97,5.70889905845549e-224,"Hspa5"
2.58843698349976e-225,-1.24940090219811,0.401,0.758,8.35676880122897e-221,"Ptchd4"
1.219024897964e-223,-0.945320509165133,0.763,0.917,3.93562188307678e-219,"Tceal9"
1.12430825097031e-220,-0.88607651162429,0.751,0.907,3.62982918825764e-216,"Lamp1"
2.33015442381698e-218,-1.10490155740333,0.137,0.566,7.52290355729312e-214,"Cd34"
6.85915825020964e-215,-1.03033901657579,0.127,0.558,2.21447924108018e-210,"Arhgap31"
2.60590971206237e-214,-1.3243324025957,0.145,0.559,8.41317950539336e-210,"Ryr3"
9.2168333359169e-213,-0.784657247966777,0.875,0.957,2.97565464250077e-208,"Pdia3"
7.88747633377802e-206,-1.03808741444586,0.144,0.56,2.54647173436023e-201,"Zfhx4"
1.63692624575571e-203,-1.02499824810648,0.096,0.524,5.28481638442232e-199,"Tmem176b"
2.0854553106519e-203,-1.03029452832991,0.166,0.59,6.73289247043967e-199,"Irs1"
2.39605355041813e-202,-0.954231100982519,0.118,0.537,7.73565888752493e-198,"Colec12"
